ac_number,constituency,district,region,turnout_pct_2026,source
1,Gummidipundi,Tiruvallur,Chennai Metro,,
2,Ponneri,Tiruvallur,Chennai Metro,,
3,Tiruttani,Tiruvallur,Chennai Metro,,
4,Thiruvallur,Tiruvallur,Chennai Metro,,
5,Poonamallee,Tiruvallur,Chennai Metro,,
6,Avadi,Tiruvallur,Chennai Metro,,
7,Maduravoyal,Tiruvallur,Chennai Metro,,
8,Ambattur,Tiruvallur,Chennai Metro,,
9,Madavaram,Tiruvallur,Chennai Metro,,
10,Thiruvottiyur,Tiruvallur,Chennai Metro,,
11,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,,
12,Perambur,Chennai,Chennai Metro,,
13,Kolathur,Chennai,Chennai Metro,,
14,Villivakkam,Chennai,Chennai Metro,,
15,Thiru-Vi-Ka-Nagar,Chennai,Chennai Metro,,
16,Egmore,Chennai,Chennai Metro,,
17,Royapuram,Chennai,Chennai Metro,,
18,Harbour,Chennai,Chennai Metro,,
19,Chepauk-Thiruvallikeni,Chennai,Chennai Metro,,
20,Thousand Lights,Chennai,Chennai Metro,,
21,Anna Nagar,Chennai,Chennai Metro,,
22,Virugampakkam,Chennai,Chennai Metro,,
23,Saidapet,Chennai,Chennai Metro,,
24,Theayagaraya Nagar,Chennai,Chennai Metro,,
25,Mylapore,Chennai,Chennai Metro,,
26,Velachery,Chennai,Chennai Metro,,
27,Shozhinganallur,Kanchipuram,Chennai Metro,,
28,Alandur,Kanchipuram,Chennai Metro,,
29,Sriperumbudur,Kanchipuram,Chennai Metro,,
30,Pallavaram,Kanchipuram,Chennai Metro,,
31,Tambaram,Kanchipuram,Chennai Metro,,
32,Chengalpattu,Kanchipuram,Chennai Metro,,
33,Thiruporur,Kanchipuram,North,,
34,Cheyyur,Kanchipuram,North,,
35,Maduranthakam,Kanchipuram,North,,
36,Uthiramerur,Kanchipuram,North,,
37,Kancheepuram,Kanchipuram,North,,
38,Arakonam,Vellore,North,,
39,Sholinghur,Vellore,North,,
40,Katpadi,Vellore,North,,
41,Ranipet,Vellore,North,,
42,Arcot,Vellore,North,,
43,Vellore,Vellore,North,,
44,Anaikattu,Vellore,North,,
45,Kilvaithinankuppam,Vellore,North,,
46,Gudiyatham,Vellore,North,,
47,Vaniayambadi,Vellore,North,,
48,Ambur,Vellore,North,,
49,Jolarpet,Vellore,North,,
50,Tiruppattur,Vellore,North,,
51,Uthangarai,Krishnagiri,North,,
52,Bargur,Krishnagiri,North,,
53,Krishnagiri,Krishnagiri,North,,
54,Veppanahalli,Krishnagiri,North,,
55,Hosur,Krishnagiri,North,,
56,Thalli,Krishnagiri,North,,
57,Palacode,Dharmapuri,North,,
58,Pennagaram,Dharmapuri,North,,
59,Dharmapuri,Dharmapuri,North,,
60,Pappireddippatti,Dharmapuri,North,,
61,Harur,Dharmapuri,North,,
62,Chengam,Tiruvannamalai,North,,
63,Tiruvannamalai,Tiruvannamalai,North,,
64,Kilpennathur,Tiruvannamalai,North,,
65,Kalasapakkam,Tiruvannamalai,North,,
66,Polur,Tiruvannamalai,North,,
67,Arani,Tiruvannamalai,North,,
68,Cheyyar,Tiruvannamalai,North,,
69,Vandavasi,Tiruvannamalai,North,,
70,Gingee,Villupuram,Central,,
71,Mailam,Villupuram,Central,,
72,Tindivanam,Villupuram,Central,,
73,Vanur,Villupuram,Central,,
74,Villupuram,Villupuram,Central,,
75,Vikravandi,Villupuram,Central,,
76,Tirukkoyilur,Villupuram,Central,,
77,Ulundurpet,Villupuram,Central,,
78,Rishivandiam,Villupuram,Central,,
79,Sankarapuram,Villupuram,Central,,
80,Kallakurichi,Villupuram,Central,,
81,Gangavalli,Salem,Central,,
82,Attur,Salem,Central,,
83,Yercaud,Salem,Central,,
84,Omalur,Salem,Central,,
85,Mettur,Salem,Central,,
86,Edapadi,Salem,Central,,
87,Sankari,Salem,Central,,
88,Salem (West),Salem,Central,,
89,Salem (North),Salem,Central,,
90,Salem (South),Salem,Central,,
91,Veerapandi,Salem,Central,,
92,Rasipuram,Namakkal,Central,,
93,Sendamangalam,Namakkal,Central,,
94,Namakkal,Namakkal,Central,,
95,Paramathi-Velur,Namakkal,Central,,
96,Tiruchengode,Namakkal,Central,,
97,Kumarapalayam,Namakkal,Central,,
98,Erode (East),Erode,Kongu,,
99,Erode (West),Erode,Kongu,,
100,Modakurichi,Erode,Kongu,,
101,Dharapuram,Erode,Kongu,,
102,Kangayam,Erode,Kongu,,
103,Perundurai,Erode,Kongu,,
104,Bhavani,Erode,Kongu,,
105,Anthiyur,Erode,Kongu,,
106,Gobichettipalayam,Tirupur,Kongu,,
107,Bhavanisagar,Tirupur,Kongu,,
108,Udhagamandalam,Tirupur,Kongu,,
109,Gudalur,Tirupur,Kongu,,
110,Coonoor,Tirupur,Kongu,,
111,Mettupalayam,Tirupur,Kongu,,
112,Avanashi,Tirupur,Kongu,,
113,Tiruppur (North),Tirupur,Kongu,,
114,Tiruppur (South),Nilgiris,Kongu,,
115,Palladam,Nilgiris,Kongu,,
116,Sulur,Nilgiris,Kongu,,
117,Kavundampalayam,Coimbatore,Kongu,,
118,Coimbatore North,Coimbatore,Kongu,,
119,Thondamuthur,Coimbatore,Kongu,,
120,Coimbatore South,Coimbatore,Kongu,,
121,Singanallur,Coimbatore,Kongu,,
122,Kinathukadavu,Coimbatore,Kongu,,
123,Pollachi,Coimbatore,Kongu,,
124,Valparai,Coimbatore,Kongu,,
125,Udumalpet,Coimbatore,Kongu,,
126,Madathukulam,Coimbatore,Kongu,,
127,Palani,Dindigul,South,,
128,Oddanchatram,Dindigul,South,,
129,Athoor,Dindigul,South,,
130,Nilakottai,Dindigul,South,,
131,Natham,Dindigul,South,,
132,Dindigul,Dindigul,South,,
133,Vedasandur,Dindigul,South,,
134,Aravakurichi,Karur,Kongu,,
135,Karur,Karur,Kongu,,
136,Krishnarayapuram,Karur,Kongu,,
137,Kulithalai,Karur,Kongu,,
138,Manapparai,Tiruchirappalli,Delta,,
139,Srirangam,Tiruchirappalli,Delta,,
140,Tiruchirapalli (West),Tiruchirappalli,Delta,,
141,Tiruchirapalli (East),Tiruchirappalli,Delta,,
142,Thiruverambur,Tiruchirappalli,Delta,,
143,Lalgudi,Tiruchirappalli,Delta,,
144,Manachanallur,Tiruchirappalli,Delta,,
145,Musiri,Tiruchirappalli,Delta,,
146,Thuraiyur,Tiruchirappalli,Delta,,
147,Perambalur,Perambalur,Central,,
148,Kunnam,Perambalur,Central,,
149,Ariyalur,Ariyalur,Central,,
150,Jayankondam,Ariyalur,Central,,
151,Tittakudi,Cuddalore,Central,,
152,Vriddhachalam,Cuddalore,Central,,
153,Neyveli,Cuddalore,Central,,
154,Panruti,Cuddalore,Central,,
155,Cuddalore,Cuddalore,Central,,
156,Kurinjipadi,Cuddalore,Central,,
157,Bhuvanagiri,Cuddalore,Central,,
