ac_number_2021,constituency_2021,region_2021,reserved_2021,valid_votes_2021,n_candidates_2021,winner_2021,winner_party_2021,winner_party_norm_2021,winner_votes_2021,winner_share_pct_2021,runner_up_2021,runner_up_party_norm_2021,runner_up_votes_2021,margin_pct_2021,turnout_pct_2021,ac_number_2026,constituency_2026,region_2026,reserved_2026,valid_votes_2026,n_candidates_2026,winner_2026,winner_party_2026,winner_party_norm_2026,winner_votes_2026,winner_share_pct_2026,runner_up_2026,runner_up_party_norm_2026,runner_up_votes_2026,margin_pct_2026,ac_number,flip_raw,flip_norm,margin_delta,constituency,district,region,reserved,turnout_pct_2026
1,Gummidipundi,Chennai Metro,GEN,220286,12,GOVINDARAJAN T.J,DMK,DMK,126452,57.4,PRAKASH M,PMK,75514,23.12,78.08,1,Gummidipoondi,Chennai Metro,GEN,231585,15,S.VIJAYAKUMAR,TVK,TVK,94320,40.73,SUDHAKAR.V,AIADMK,66375,12.07,1,True,True,-11.05,Gummidipundi,Tiruvallur,Chennai Metro,GEN,
2,Ponneri,Chennai Metro,SC,208800,10,DURAI. CHANDRASEKAR,INC,INC,94528,45.27,BALARAMAN. P,AIADMK,84839,4.64,78.2,2,Ponneri,Chennai Metro,SC,225954,13,DR.RAVI.M.S,TVK,TVK,110439,48.88,DURAI CHANDRASEKAR,INC,54671,24.68,2,True,True,20.04,Ponneri,Tiruvallur,Chennai Metro,SC,
3,Tiruttani,Chennai Metro,GEN,230959,14,S.Chandran,DMK,DMK,120314,52.09,G.Hari,AIADMK,91061,12.67,78.76,3,Tiruttani,Chennai Metro,GEN,237588,13,G.HARI,AIADMK,AIADMK,89169,37.53,M.SATHYA KUMAR,TVK,83376,2.44,3,True,True,-10.23,Tiruttani,Tiruvallur,Chennai Metro,GEN,
4,Thiruvallur,Chennai Metro,GEN,212371,11,"RAAJENDRAN, V.G.",DMK,DMK,107709,50.72,"RAMANAH, BE VEE",AIADMK,85008,10.69,77.2,4,Thiruvallur,Chennai Metro,GEN,225296,14,DR. T. ARUNKUMAR,TVK,TVK,92190,40.92,V.G. RAAJENDRAN,DMK,67430,10.99,4,True,True,0.3000000000000007,Thiruvallur,Tiruvallur,Chennai Metro,GEN,
5,Poonamallee,Chennai Metro,SC,260869,14,Krishnaswamy A,DMK,DMK,149578,57.34,Rajamannar S X,PMK,55468,36.08,72.99,5,Poonamallee,Chennai Metro,SC,307323,11,PRAKASAM.R,TVK,TVK,161309,52.49,KRISHNASWAMY.A,DMK,88569,23.67,5,True,True,-12.409999999999997,Poonamallee,Tiruvallur,Chennai Metro,SC,
6,Avadi,Chennai Metro,GEN,298546,20,Nasar S M,DMK,DMK,150287,50.34,Pandiarajan K,AIADMK,95012,18.51,67.37,6,Avadi,Chennai Metro,GEN,344472,20,R.RAMESH KUMAR,TVK,TVK,180384,52.37,S.M.NASAR,DMK,104073,22.15,6,True,True,3.639999999999997,Avadi,Tiruvallur,Chennai Metro,GEN,
7,Maduravoyal,Chennai Metro,GEN,271724,20,GANAPATHY.K,DMK,DMK,121298,44.64,BENJAMIN.P,AIADMK,89577,11.67,60.3,7,Maduravoyal,Chennai Metro,GEN,292230,21,RHEVANTH CHARAN,TVK,TVK,141725,48.5,GANAPATHY. K,DMK,80216,21.05,7,True,True,9.38,Maduravoyal,Tiruvallur,Chennai Metro,GEN,
8,Ambattur,Chennai Metro,GEN,237941,23,JOSEPH SAMUEL,DMK,DMK,114554,48.14,V ALEXANDER,AIADMK,72408,17.71,62.01,8,Ambattur,Chennai Metro,GEN,258496,23,BALAMURUGAN.G,TVK,TVK,133339,51.58,DR A.P. POORNIMA,DMK,74558,22.74,8,True,True,5.029999999999998,Ambattur,Tiruvallur,Chennai Metro,GEN,
9,Madavaram,Chennai Metro,GEN,300534,20,SUDHARSANAM. S,DMK,DMK,151485,50.41,Moorthy. V,AIADMK,94414,18.99,66.37,9,Madavaram,Chennai Metro,GEN,360604,15,M.L.VIJAYPRABHU,TVK,TVK,190462,52.82,S.SUDHARSANAM,DMK,95477,26.34,9,True,True,7.350000000000001,Madavaram,Tiruvallur,Chennai Metro,GEN,
10,Thiruvottiyur,Chennai Metro,GEN,198885,20,K.P.SHANKAR,DMK,DMK,88185,44.34,K.KUPPAN,AIADMK,50524,18.94,65.15,10,Thiruvottiyur,Chennai Metro,GEN,206283,15,SENTHIL KUMAR. N,TVK,TVK,110067,53.36,SUNDARARAJ. L,CPI(M),56503,25.97,10,True,True,7.029999999999998,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN,
