ac_number,constituency,region,reserved,valid_votes,n_candidates,winner,winner_party,winner_party_norm,winner_votes,winner_share_pct,runner_up,runner_up_party_norm,runner_up_votes,margin_pct,turnout_pct
1,Gummidipundi,Chennai Metro,GEN,220286,12,GOVINDARAJAN T.J,DMK,DMK,126452,57.4,PRAKASH M,PMK,75514,23.12,78.08
2,Ponneri,Chennai Metro,SC,208800,10,DURAI. CHANDRASEKAR,INC,INC,94528,45.27,BALARAMAN. P,AIADMK,84839,4.64,78.2
3,Tiruttani,Chennai Metro,GEN,230959,14,S.Chandran,DMK,DMK,120314,52.09,G.Hari,AIADMK,91061,12.67,78.76
4,Thiruvallur,Chennai Metro,GEN,212371,11,"RAAJENDRAN, V.G.",DMK,DMK,107709,50.72,"RAMANAH, BE VEE",AIADMK,85008,10.69,77.2
5,Poonamallee,Chennai Metro,SC,260869,14,Krishnaswamy A,DMK,DMK,149578,57.34,Rajamannar S X,PMK,55468,36.08,72.99
6,Avadi,Chennai Metro,GEN,298546,20,Nasar S M,DMK,DMK,150287,50.34,Pandiarajan K,AIADMK,95012,18.51,67.37
7,Maduravoyal,Chennai Metro,GEN,271724,20,GANAPATHY.K,DMK,DMK,121298,44.64,BENJAMIN.P,AIADMK,89577,11.67,60.3
8,Ambattur,Chennai Metro,GEN,237941,23,JOSEPH SAMUEL,DMK,DMK,114554,48.14,V ALEXANDER,AIADMK,72408,17.71,62.01
9,Madavaram,Chennai Metro,GEN,300534,20,SUDHARSANAM. S,DMK,DMK,151485,50.41,Moorthy. V,AIADMK,94414,18.99,66.37
10,Thiruvottiyur,Chennai Metro,GEN,198885,20,K.P.SHANKAR,DMK,DMK,88185,44.34,K.KUPPAN,AIADMK,50524,18.94,65.15
11,Dr. Radhakrishnan Nagar,Chennai Metro,GEN,185323,31,EBENEZER. J.J. (@)  JOHN EBENEZER.J,DMK,DMK,95763,51.67,RAAJESH.R.S.,AIADMK,53284,22.92,70.98
12,Perambur,Chennai Metro,GEN,198872,22,SHEKAR. R.D,DMK,DMK,105267,52.93,DHANAPALAN N.R,AIADMK,50291,27.64,63.0
13,Kolathur,Chennai Metro,GEN,171859,36,M.K. STALIN,DMK,DMK,105522,61.4,AADIRAJARAM,AIADMK,35138,40.95,61.04
14,Villivakkam,Chennai Metro,GEN,142648,23,A . Vetriazhagan,DMK,DMK,76127,53.37,J.C.D.Prabhakar,AIADMK,38890,26.1,55.92
15,Thiru-Vi-Ka-Nagar,Chennai Metro,SC,132650,23,SIVAKUMAR.P,DMK,DMK,81727,61.61,KALYANI.P.L,AIADMK,26714,41.47,60.62
16,Egmore,Chennai Metro,SC,118095,18,I.PARANTHAMEN,DMK,DMK,68832,58.29,B.JOHN PANDIAN,AIADMK,30064,32.83,61.13
17,Royapuram,Chennai Metro,GEN,120290,26,MURTHY.R.IDREAM,DMK,DMK,64424,53.56,JAYAKUMAR.D,AIADMK,36645,23.09,62.6
18,Harbour,Chennai Metro,GEN,100738,28,SEKARBABU. P.K,DMK,DMK,59317,58.88,VINOJ. P. SELVAM,BJP,32043,27.07,57.64
19,Chepauk-Thiruvallikeni,Chennai Metro,GEN,135344,26,UDHAYANIDHI STALIN,DMK,DMK,93285,68.92,KASSALI A.V.A,PMK,23930,51.24,58.33
20,Thousand Lights,Chennai Metro,GEN,134555,20,EZHILAN N,DMK,DMK,71867,53.41,KUSHBOO SUNDAR,BJP,39405,24.13,56.25
21,Anna Nagar,Chennai Metro,GEN,163551,23,M.K. Mohan,DMK,DMK,80054,48.95,S. Gokula Indira,AIADMK,52609,16.78,57.33
22,Virugampakkam,Chennai Metro,GEN,167524,27,AMV.PRABHAKARA RAJA,DMK,DMK,74351,44.38,VIRUGAI V.N.RAVI,AIADMK,55984,10.96,57.59
23,Saidapet,Chennai Metro,GEN,159169,30,SUBRAMANIAN. MA,DMK,DMK,80194,50.38,SAIDAI DURAISAMY,AIADMK,50786,18.48,57.36
24,Theayagaraya Nagar,Chennai Metro,GEN,136497,14,KARUNANITHI J,DMK,DMK,56035,41.05,SATHIYANAARAYANAN B,AIADMK,55898,0.1,55.99
25,Mylapore,Chennai Metro,GEN,152143,23,VELU.DHA,DMK,DMK,68392,44.95,NATARAJ.R,AIADMK,55759,8.3,56.6
26,Velachery,Chennai Metro,GEN,174972,23,JMH.AASSAN MAULAANA,INC,INC,68493,39.15,M.K.ASHOK,AIADMK,64141,2.49,56.18
27,Shozhinganallur,Chennai Metro,GEN,385325,26,S.ARAVINDRAMESH,DMK,DMK,171558,44.52,K.P.KANDAN,AIADMK,136153,9.19,55.51
28,Alandur,Chennai Metro,GEN,235863,25,T.M.Anbarasan,DMK,DMK,116785,49.51,B.Valarmathi,AIADMK,76214,17.2,60.82
29,Sriperumbudur,Chennai Metro,SC,262123,15,SELVAPERUNTHAGAI,INC,INC,115353,44.01,PALANI,AIADMK,104474,4.15,73.94
30,Pallavaram,Chennai Metro,GEN,264249,22,KARUNANITHI,DMK,DMK,126427,47.84,RAJENDRAN,AIADMK,88646,14.3,60.86
31,Tambaram,Chennai Metro,GEN,246684,22,Raja.S.R,DMK,DMK,116840,47.36,Chinnaiyah.T.K.M,AIADMK,80016,14.93,59.55
32,Chengalpattu,Chennai Metro,GEN,271012,13,VARALAKSHMI.M,DMK,DMK,130573,48.18,GAJENDRAN.M,AIADMK,103908,9.84,63.54
33,Thiruporur,North,GEN,224747,11,S.S.Balaji,VCK,VCK,93954,41.8,Arumugam.K,PMK,92007,0.87,76.36
34,Cheyyur,North,SC,177979,9,Babu M,VCK,VCK,82750,46.49,Kanitha S,AIADMK,78708,2.27,77.88
35,Maduranthakam,North,SC,184471,10,Maragatham. K,AIADMK,AIADMK,86646,46.97,Sathya. C.E,DMK,83076,1.94,80.65
36,Uthiramerur,North,GEN,209577,20,SUNDAR K,DMK,DMK,93427,44.58,SOMASUNDARAM V,AIADMK,91805,0.77,80.1
37,Kancheepuram,North,GEN,226893,15,C.V.M.P. Ezhailzrasan,DMK,DMK,102712,45.27,P. Magesh Kumar,PMK,91117,5.11,73.28
38,Arakonam,North,SC,169756,13,S.RAVI,AIADMK,AIADMK,85399,50.31,GOWTHAMA SANNAH.J,VCK,58230,16.0,74.89
39,Sholinghur,North,GEN,222870,18,A.M.MUNIRATHINAM,INC,INC,110228,49.46,A.M.KRISHNAN,PMK,83530,11.98,80.09
40,Katpadi,North,GEN,184357,15,DURAIMURUGAN,DMK,DMK,85140,46.18,V RAMU,AIADMK,84394,0.4,74.0
41,Ranipet,North,GEN,205830,14,R.GANDHI,DMK,DMK,103291,50.18,S.M.SUGUMAR,AIADMK,86793,8.02,77.24
42,Arcot,North,GEN,207538,12,J.L.Eswarappan,DMK,DMK,103885,50.06,Elavazagan.K.L,PMK,83927,9.62,79.62
43,Vellore,North,GEN,178458,17,Karthikeyan .P,DMK,DMK,84299,47.24,Appu S.R.K,AIADMK,75118,5.14,70.25
44,Anaikattu,North,GEN,196014,13,A.P.Nandakumar,DMK,DMK,95159,48.55,D.Velazhagan,AIADMK,88799,3.24,77.05
45,Kilvaithinankuppam,North,SC,172326,10,M.JAGAN MOORTHY,AIADMK,AIADMK,84579,49.08,K Seetharaman,DMK,73997,6.14,76.5
46,Gudiyatham,North,SC,209931,15,Amulu.V,DMK,DMK,100412,47.83,Paritha.G,AIADMK,93511,3.29,72.56
47,Vaniayambadi,North,GEN,188505,13,G.SENDHIL KUMAR,AIADMK,AIADMK,88018,46.69,N.MOHAMMED NAYEEM,IUML,83114,2.6,75.55
48,Ambur,North,GEN,176461,13,VILWANATHAN.A.C,DMK,DMK,90476,51.27,NAZAR MOHAMED.K,AIADMK,70244,11.47,74.01
49,Jolarpet,North,GEN,195021,13,DEVARAJI.K.,DMK,DMK,89490,45.89,VEERAMANI.K.C.,AIADMK,88399,0.56,80.98
50,Tiruppattur,North,GEN,184298,15,A. NALLATHAMBI,DMK,DMK,96522,52.37,T.K. RAJA,PMK,68282,15.32,76.97
51,Uthangarai,North,SC,186864,12,T.M.TAMILSELVAM,AIADMK,AIADMK,99675,53.34,S.Arumugam,INC,71288,15.19,78.37
52,Bargur,North,GEN,196277,14,MATHIAZHAGAN D,DMK,DMK,97256,49.55,KRISHNAN A,AIADMK,84642,6.43,79.08
53,Krishnagiri,North,GEN,209811,15,Ashokkumar.K,AIADMK,AIADMK,96050,45.78,SENGUTTUVAN.T,DMK,95256,0.38,78.5
54,Veppanahalli,North,GEN,203479,15,K.P.Munusamy,AIADMK,AIADMK,94104,46.25,P.Murugan,DMK,91050,1.5,81.31
55,Hosur,North,GEN,246122,18,PRAKAASH Y,DMK,DMK,118231,48.04,JYOTHI S,AIADMK,105864,5.02,70.09
56,Thalli,North,GEN,192056,12,RAMACHANDRAN.T,CPI,CPI,120641,62.82,Dr.NAGESH KUMAR.C,BJP,64415,29.28,77.06
57,Palacode,North,GEN,205244,12,ANBALAGAN.K.P.,AIADMK,AIADMK,110070,53.63,MURUGAN.P.K.,DMK,81970,13.69,87.37
58,Pennagaram,North,GEN,208546,15,MANI. G.K,PMK,PMK,106123,50.89,INBASEKARAN. P.N.P,DMK,84937,10.16,85.0
59,Dharmapuri,North,GEN,215607,21,VENKATESHWARAN.S.P.,PMK,PMK,105630,48.99,SUBRAMANI.P,DMK,78770,12.46,79.69
60,Pappireddippatti,North,GEN,219656,15,GOVINDASAMY.A,AIADMK,AIADMK,114507,52.13,PRABHURAJASEKAR.M,DMK,77564,16.82,82.15
61,Harur,North,SC,196316,13,SAMPATHKUMAR.V,AIADMK,AIADMK,99061,50.46,KUMAR.A,CPI(M),68699,15.47,78.46
62,Chengam,North,SC,222865,15,GIRI.M.P,DMK,DMK,108081,48.5,NAINAKANNU.M.S,AIADMK,96511,5.19,80.66
63,Tiruvannamalai,North,GEN,206642,15,E V VELU,DMK,DMK,137876,66.72,S THANIGAIVEL,BJP,43203,45.81,71.69
64,Kilpennathur,North,GEN,202925,21,K.Pitchandi,DMK,DMK,104675,51.58,K.Selvakumar,PMK,77888,13.2,79.35
65,Kalasapakkam,North,GEN,194841,15,Saravanan.P.S.T,DMK,DMK,94134,48.31,Panneerselvam.V,AIADMK,84912,4.73,80.36
66,Polur,North,GEN,200868,15,Agri KRISHNAMURTHY. S S,AIADMK,AIADMK,97732,48.65,SEKARAN. K.V,DMK,88007,4.84,82.33
67,Arani,North,GEN,219732,15,S.RAMACHANDRAN,AIADMK,AIADMK,102961,46.86,S.S.ANBALAGAN,DMK,99833,1.42,79.84
68,Cheyyar,North,GEN,212565,15,JOTHI. O,DMK,DMK,102460,48.2,DUSI. K. MOHAN,AIADMK,90189,5.77,81.69
69,Vandavasi,North,SC,184205,11,Ambethkumar S,DMK,DMK,102064,55.41,Murali S,PMK,66111,19.52,76.81
