ac_number,constituency,district,region,reserved,winner_party_norm_2026,margin_pct_2026,winner_share_pct_2026,flip_norm
185,Tiruppattur,Sivaganga,South,GEN,TVK,0.0,38.79,True
54,Veppanahalli,Krishnagiri,North,GEN,DMK,0.06,33.79,True
229,Kanniyakumari,Kanniyakumari,South,GEN,AIADMK,0.09,31.49,False
66,Polur,Tiruvannamalai,North,GEN,TVK,0.11,32.22,True
76,Tirukkoyilur,Villupuram,Central,GEN,AIADMK,0.13,33.68,True
95,Paramathi-Velur,Namakkal,Central,GEN,AIADMK,0.16,32.56,False
137,Kulithalai,Karur,Kongu,GEN,DMK,0.28,32.68,False
80,Kallakurichi,Villupuram,Central,SC,TVK,0.32,32.62,True
127,Palani,Dindigul,South,GEN,AIADMK,0.33,32.23,True
171,Kumbakonam,Thanjavur,Delta,GEN,TVK,0.33,37.94,True
201,Cumbum,Theni,South,GEN,TVK,0.36,40.68,True
72,Tindivanam,Villupuram,Central,SC,VCK,0.38,32.68,True
75,Vikravandi,Villupuram,Central,GEN,PMK,0.44,33.39,True
218,Kovilpatti,Thoothukudi,South,GEN,DMK,0.44,31.83,True
172,Papanasam,Thanjavur,Delta,GEN,IUML,0.51,33.47,True
132,Dindigul,Dindigul,South,GEN,DMK,0.54,35.27,True
187,Manamadurai,Sivaganga,South,SC,TVK,0.58,33.67,True
138,Manapparai,Tiruchirappalli,Delta,GEN,TVK,0.59,34.56,True
108,Udhagamandalam,Tirupur,Kongu,GEN,BJP,0.66,32.94,True
216,Srivaikuntam,Thoothukudi,South,GEN,TVK,0.67,33.45,True
105,Anthiyur,Erode,Kongu,GEN,AIADMK,0.68,32.45,True
234,Killiyoor,Kanniyakumari,South,GEN,INC,0.74,37.53,False
167,Mannargudi,Tiruvarur,Delta,GEN,AMMK,0.81,35.32,True
197,Usilampatti,Madurai,South,GEN,TVK,0.81,29.43,True
181,Thirumayam,Pudukkottai,Delta,GEN,DMK,0.82,32.04,False
77,Ulundurpet,Villupuram,Central,GEN,DMK,0.84,36.48,False
135,Karur,Karur,Kongu,GEN,AIADMK,0.84,33.08,True
83,Yercaud,Salem,Central,ST,AIADMK,0.87,34.78,False
180,Pudukkottai,Pudukkottai,Delta,GEN,DMK,0.98,35.19,False
63,Tiruvannamalai,Tiruvannamalai,North,GEN,DMK,1.12,40.26,False
