district,party,seats
Ariyalur,AIADMK,1
Ariyalur,PMK,1
Chennai,DMK,2
Chennai,TVK,14
Coimbatore,AIADMK,1
Coimbatore,DMK,5
Coimbatore,TVK,4
Cuddalore,AIADMK,3
Cuddalore,DMDK,1
Cuddalore,DMK,3
Cuddalore,TVK,1
Cuddalore,VCK,1
Dharmapuri,AIADMK,3
Dharmapuri,PMK,1
Dharmapuri,TVK,1
Dindigul,AIADMK,2
Dindigul,DMK,4
Dindigul,TVK,1
Erode,AIADMK,5
Erode,TVK,3
Kanchipuram,AIADMK,2
Kanchipuram,TVK,9
Kanniyakumari,AIADMK,1
Kanniyakumari,CPI(M),1
Kanniyakumari,DMK,1
Kanniyakumari,INC,3
Karur,AIADMK,1
Karur,DMK,2
Karur,TVK,1
Krishnagiri,AIADMK,2
Krishnagiri,CPI,1
Krishnagiri,DMK,1
Krishnagiri,TVK,2
Madurai,DMK,1
Madurai,INC,1
Madurai,TVK,8
Nagapattinam,AIADMK,1
Nagapattinam,CPI(M),1
Nagapattinam,DMK,3
Nagapattinam,INC,1
Namakkal,AIADMK,1
Namakkal,TVK,5
Nilgiris,TVK,3
Perambalur,DMK,1
Perambalur,TVK,1
Pudukkottai,AIADMK,1
Pudukkottai,DMK,3
Pudukkottai,TVK,2
Ramanathapuram,DMK,3
Ramanathapuram,TVK,1
Salem,AIADMK,7
Salem,TVK,4
Sivaganga,TVK,4
Thanjavur,DMK,5
Thanjavur,IUML,1
Thanjavur,TVK,2
Theni,DMK,2
Theni,TVK,2
Thoothukudi,DMK,3
Thoothukudi,TVK,3
Tiruchirappalli,AIADMK,1
Tiruchirappalli,DMK,2
Tiruchirappalli,TVK,6
Tirunelveli,AIADMK,2
Tirunelveli,DMK,5
Tirunelveli,TVK,3
Tirupur,BJP,1
Tirupur,DMK,2
Tirupur,TVK,5
Tiruvallur,AIADMK,1
Tiruvallur,TVK,9
Tiruvannamalai,AIADMK,5
Tiruvannamalai,DMK,2
Tiruvannamalai,TVK,1
Tiruvarur,AIADMK,1
Tiruvarur,AMMK,1
Tiruvarur,CPI,1
Tiruvarur,DMK,1
Vellore,AIADMK,3
Vellore,DMK,1
Vellore,IUML,1
Vellore,TVK,8
Villupuram,AIADMK,3
Villupuram,DMK,4
Villupuram,PMK,2
Villupuram,TVK,1
Villupuram,VCK,1
Virudhunagar,DMK,3
Virudhunagar,TVK,4
