ac_number,constituency,region,nota_votes,nota_pct
108,Udhagamandalam,Kongu,1525,1.03
107,Bhavanisagar,Kongu,1804,0.84
56,Thalli,North,1550,0.75
128,Oddanchatram,South,1491,0.74
26,Velachery,Chennai Metro,1336,0.72
199,Periyakulam,South,1506,0.71
54,Veppanahalli,North,1570,0.71
104,Bhavani,Kongu,1409,0.68
178,Gandharvakottai,Delta,1127,0.67
112,Avanashi,Kongu,1563,0.67
24,Thiyagarayanagar,Chennai Metro,878,0.66
174,Thanjavur,Delta,1274,0.64
122,Kinathukadavu,Kongu,1717,0.64
20,Thousand Lights,Chennai Metro,815,0.62
121,Singanallur,Kongu,1346,0.61
22,Virugampakkam,Chennai Metro,1030,0.6
18,Harbour,Chennai Metro,600,0.6
21,Anna Nagar,Chennai Metro,963,0.59
145,Musiri,Delta,1093,0.58
93,Senthamangalam,Central,1211,0.58
23,Saidapet,Chennai Metro,924,0.58
109,Gudalur,Kongu,871,0.58
55,Hosur,North,1614,0.58
117,Kavundampalayam,Kongu,2116,0.58
16,Egmore,Chennai Metro,695,0.58
206,Virudhunagar,South,954,0.57
57,Palacodu,North,1292,0.57
8,Ambattur,Chennai Metro,1490,0.57
89,Salem (North),Central,1205,0.57
99,Erode (West),Kongu,1257,0.57
125,Udumalaipettai,Kongu,1149,0.56
140,Tiruchirappalli (West),Delta,1098,0.56
30,Pallavaram,Chennai Metro,1602,0.56
41,Ranipet,North,1209,0.55
225,Ambasamudram,South,1060,0.55
31,Tambaram,Chennai Metro,1512,0.54
98,Erode (East),Kongu,879,0.54
84,Omalur,Central,1433,0.53
101,Dharapuram,Kongu,1058,0.53
181,Thirumayam,Delta,945,0.52
86,Edappadi,Central,1341,0.52
69,Vandavasi,North,988,0.52
25,Mylapore,Chennai Metro,770,0.51
110,Coonoor,Kongu,720,0.51
44,Anaikattu,North,1103,0.51
45,Kilvaithinankuppam,North,972,0.51
5,Poonamallee,Chennai Metro,1571,0.51
3,Tiruttani,Chennai Metro,1210,0.51
7,Maduravoyal,Chennai Metro,1462,0.5
4,Thiruvallur,Chennai Metro,1132,0.5
53,Krishnagiri,North,1136,0.49
116,Sulur,Kongu,1353,0.49
205,Sivakasi,South,948,0.49
14,Villivakkam,Chennai Metro,695,0.49
82,Attur,Central,1031,0.49
83,Yercaud,Central,1250,0.49
36,Uthiramerur,North,1114,0.49
38,Arakkonam,North,899,0.49
186,Sivaganga,South,1053,0.49
126,Madathukulam,Kongu,911,0.48
33,Thiruporur,North,1248,0.48
13,Kolathur,Chennai Metro,892,0.48
120,Coimbatore (South),Kongu,759,0.48
100,Modakkurichi,Kongu,925,0.48
28,Alandur,Chennai Metro,1263,0.48
233,Vilavancode,South,828,0.47
155,Cuddalore,Central,894,0.47
191,Madurai North,South,753,0.47
123,Pollachi,Kongu,849,0.47
115,Palladam,Kongu,1417,0.47
226,Palayamkottai,South,851,0.47
198,Andipatti,South,1028,0.47
147,Perambalur,Central,1160,0.46
153,Neyveli,Central,768,0.46
62,Chengam,North,1114,0.46
27,Shozhinganallur,Chennai Metro,2079,0.46
19,Chepauk-Thiruvallikeni,Chennai Metro,643,0.46
171,Kumbakonam,Delta,960,0.46
124,Valparai,Kongu,675,0.45
88,Salem (West),Central,1052,0.45
118,Coimbatore (North),Kongu,1020,0.45
203,Srivilliputhur,South,873,0.45
195,Thiruparankundram,South,1148,0.45
217,Ottapidaram,South,879,0.45
193,Madurai Central,South,656,0.44
37,Kancheepuram,North,1078,0.44
6,Avadi,Chennai Metro,1533,0.44
