party_norm,vote_share_pct,seat_share_pct,representation_gap_pp,votes_per_seat_index
DMK,37.98,56.84,18.86,0.67
AIADMK,33.56,28.21,-5.35,1.19
NTK,6.63,0.0,-6.63,
INC,4.31,7.69,3.38,0.56
PMK,3.83,2.14,-1.69,1.79
MNM,2.64,0.0,-2.64,
BJP,2.64,1.71,-0.93,1.54
AMMK,2.37,0.0,-2.37,
IND,1.4,0.0,-1.4,
CPI,1.11,0.85,-0.26,1.31
VCK,1.0,1.71,0.71,0.58
CPI(M),0.85,0.85,0.0,1.0
IUML,0.48,0.0,-0.48,
DMDK,0.44,0.0,-0.44,
OTH,0.34,0.0,-0.34,
BSP,0.22,0.0,-0.22,
PT,0.09,0.0,-0.09,
SDPI,0.06,0.0,-0.06,
AIMIM,0.01,0.0,-0.01,
NCP,0.01,0.0,-0.01,
AISMK,0.01,0.0,-0.01,
RPI(A),0.01,0.0,-0.01,
NPP,0.0,0.0,0.0,
LJP,0.0,0.0,0.0,
JD(S),0.0,0.0,0.0,
RJD,0.0,0.0,0.0,
RSPS,0.0,0.0,0.0,
SAMATAPART,0.0,0.0,0.0,
SHS,0.0,0.0,0.0,
SP,0.0,0.0,0.0,
SUCI,0.0,0.0,0.0,
AITC,0.0,0.0,0.0,
