reserved,year,party,seats
GEN,2021,DMK,111
GEN,2021,AIADMK,49
GEN,2021,INC,16
GEN,2021,PMK,5
GEN,2021,BJP,4
GEN,2021,VCK,2
GEN,2021,CPI,1
GEN,2026,TVK,84
GEN,2026,DMK,50
GEN,2026,AIADMK,38
GEN,2026,INC,5
GEN,2026,PMK,4
GEN,2026,IUML,2
GEN,2026,CPI,1
GEN,2026,BJP,1
GEN,2026,DMDK,1
GEN,2026,AMMK,1
GEN,2026,CPI(M),1
SC,2021,DMK,21
SC,2021,AIADMK,16
SC,2021,INC,2
SC,2021,VCK,2
SC,2021,CPI(M),2
SC,2021,CPI,1
SC,2026,TVK,23
SC,2026,DMK,9
SC,2026,AIADMK,8
SC,2026,VCK,2
SC,2026,CPI(M),1
SC,2026,CPI,1
ST,2021,AIADMK,1
ST,2021,DMK,1
ST,2026,AIADMK,1
ST,2026,TVK,1
